,streaming,clio,wc_holdings,discard,title,bib_id,oclc_num,format,author,holdings_sup,bib_sup,tag_965,lp,historic_circs,comments,reserve_past_few,location,clio_y_n,num_libs
0,n,n,132.0,n,Bright Red [sound recording] / Laurie Anderson. ,9062442,227189789,MUSICAL SOUND RECORDING,"Anderson, Laurie. ",Y,Y,,,,,,bar,n,
1,,,,,"Chain : farm, factory, and the fate of our food / Ted Genoways. ",11043454,894893030,NONMUSICAL SOUND RECORDING,"Genoways, Ted, ",Y,Y,,,,,,bar,n,32
2,n,n,39.0,m,Egmont [sound recording] / Beethoven. ,398584,80373612,MUSICAL SOUND RECORDING,"Beethoven, Ludwig van, 1770-1827. ",Y,Y,,y,,Is this an LP??? We don't even have the capacity to play this,,bar,n,8
3,y,y,733.0,y,"Evolution [sound recording] / the United States Air Force Band, Washington, D.C. ",4108195,44124520,MUSICAL SOUND RECORDING,United States Air Force Band. ,Y,N,,,,,,bar,y,708
4,n,n,1.0,n,Guido Cantelli [sound recording]. ,9162461,427008859,MUSICAL SOUND RECORDING,,Y,Y,,,,,,bar,y,1
5,m,y,15.0,m,LakmeÌ [sound recording] / Delibes. ,520200,42536399,MUSICAL SOUND RECORDING,"Delibes, LeÌo, 1836-1891. ",Y,N,,y,,"Possibly LP. Naxos highlights, 0077776344751",,bar,y,14
6,,,,,New Southerners [Sound recordings]. ,2093419,33952932,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,bar,n,24
7,,,,,New Southerners [Sound recordings]. ,2093419,33952932,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,bar,n,24
8,n,y,40.0,m,"Quartet in F major / Maurice Ravel. Quartet in g minor, op. 10 / Claude Debussy [sound recording] ",1647583,23958769,MUSICAL SOUND RECORDING,"Ravel, Maurice, 1875-1937. ",Y,N,RECONanx2,y,,Possibly LP. ,,bar,y,40
9,n,n,276.0,m,Solitude standing [sound recording] / Suzanne Vega. ,9023076,15872933,MUSICAL SOUND RECORDING,"Vega, Suzanne. ",Y,Y,,,,,,bar,n,265
10,n,y,123.0,y,Suite symphonique. Symphony for trombone and orchestra [sound recording] ,129372,3045367,MUSICAL SOUND RECORDING,"Bloch, Ernest, 1880-1959. ",Y,N,,y,,Possibly LP. ,,bar,y,124
11,n,y,55.0,y,Twin sons of different mothers [sound recording]. ,1897679,4258298,MUSICAL SOUND RECORDING,"Fogelberg, Dan. ",Y,N,,y,,,,bar,y,55
12,n,n,1.0,n,Ugly one with the jewels and other stories [sound recording] / Laurie Anderson. ,9062418,33185343,MUSICAL SOUND RECORDING,"Anderson, Laurie, 1947- ",Y,Y,,,,Cassette tape,,bar,n,1
13,n,y,76.0,m,United States live [sound recording] / Laurie Anderson. ,3366170,11609649,MUSICAL SOUND RECORDING,"Anderson, Laurie, 1947- ",Y,N,,y,,,,bar,y,74
14,n,n,52.0,,Winter tale [sound recording] / Bobby Long. ,8647876,694397411,MUSICAL SOUND RECORDING,"Long, Bobby. ",Y,Y,,,0.0,,,bar,n,50
15,,,,,"Champs-ElyseÌes [sound recording] / Dominique Laurent, editor ; Georges Lang, host and writer. ",3292299,46679910,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,"bar,medi",y,13
16,,,,,"Mundo 21 [sound recording] : para hispanohablantes / Fabian A. Samaniego, Francisco X. Alarcon, Nelson Rojas. ",3298110,40097388,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,"bar,medi",n,1
17,,,,,Poet's voice [sound recording] / [selected and edited by Stratis Haviaras]. ,2093405,25368531,NONMUSICAL SOUND RECORDING,,Y,Y,,,,,,"bar,medi",n,26
18,,,,,Russian phonetics drills [sound recording] / Robert L. Baker. ,4778285,84057752,NONMUSICAL SOUND RECORDING,,N,Y,,,,,,"bar,medi",n,
19,y,n,263.0,,"""Carmen-fantasie"" [sound recording] / Anne-Sophie Mutter, Wiener Philharmoniker, James Levine. ",2051625,29339433,MUSICAL SOUND RECORDING,"Mutter, Anne-Sophie, 1963- ",Y,Y,,,1.0,,,bsr,n,262
20,n,n,23.0,,"""Fatha"" [sound recording] / the Earl Hines Trio. ",2843205,6719795,MUSICAL SOUND RECORDING,Earl Hines Trio. ,Y,Y,,y,,,,bsr,n,23
